network,expert,shift_mean,ci_low,ci_high,ci_cross_zero
SMN,mlp,-0.025167311511149926,-0.03005829814367266,-0.02010254307499845,False
SMN,cheb,0.03315529458026972,0.02382896015330813,0.0423679955995888,False
SMN,gt,-0.019243518594604797,-0.02821579903259782,-0.009990075927625155,False
SMN,gcn,0.01125553704160856,0.001992680209513962,0.02001203045007225,False
DMN,mlp,-0.01453606645735081,-0.02046356587318178,-0.008704244502423542,False
DMN,cheb,0.024307157713535255,0.016330328131453572,0.0318458255452645,False
DMN,gt,-0.014751853468217085,-0.021420203169309638,-0.008003477489139845,False
DMN,gcn,0.004980765384573427,-0.0010499740478416896,0.011245077984011921,True
FPN,mlp,-0.02008408112167548,-0.02651897278364342,-0.013831834240725894,False
FPN,cheb,0.019514820550732337,0.010400552263734278,0.028622923758716088,False
FPN,gt,-0.01228906871968899,-0.02024165823883512,-0.003136347568810987,False
FPN,gcn,0.012858330711517263,0.008033252050147736,0.017803075602040017,False
DAN,mlp,-0.029019325908233168,-0.03371797598076066,-0.024295025556535985,False
DAN,cheb,0.031856785554918665,0.023645986224448665,0.04057192930366546,False
DAN,gt,-0.016747387492023758,-0.02569621460014107,-0.007349447959726348,False
DAN,gcn,0.01390992820101733,0.006356404151423162,0.021467815590353875,False
VN,mlp,-0.03783425066451612,-0.04501055289677098,-0.030243403216601395,False
VN,cheb,0.04584677807268783,0.03361794830405226,0.05763924349875041,False
VN,gt,-0.017622201674001525,-0.027259609045684276,-0.007120246413890036,False
VN,gcn,0.00960967449898098,-0.0010148747173580428,0.020434342841750514,True
LIN,mlp,-0.013249599537285606,-0.01846087907028872,-0.007706466433816516,False
LIN,cheb,0.026831945734082097,0.01740338319594783,0.036225771298686954,False
LIN,gt,-0.014515356397880819,-0.0220466554507196,-0.0058343019030874695,False
LIN,gcn,0.0009330119278314619,-0.0060468542309260005,0.008568974376464705,True
SBN,mlp,-0.018961998125430174,-0.02556624624826885,-0.012631634541465767,False
SBN,cheb,0.020747003000643527,0.01181812117521849,0.02846085994557502,False
SBN,gt,-0.013800698594943872,-0.02079261065143889,-0.006712091989685238,False
SBN,gcn,0.01201569094169691,0.005403131090082576,0.018964120632755446,False
VAN,mlp,-0.021893365086297134,-0.028497225490097443,-0.01577750490390446,False
VAN,cheb,0.02275233944784577,0.013713451357331265,0.03159702306794639,False
VAN,gt,-0.012815754262834878,-0.020086921267009956,-0.005738035847140805,False
VAN,gcn,0.01195678268591327,0.006185212434858305,0.018117364633337553,False
CBL,mlp,-0.03789619536467828,-0.044137280422913955,-0.03153692214951221,False
CBL,cheb,0.04777919648173051,0.037354251018632864,0.05855189861531939,False
CBL,gt,-0.022472406636956543,-0.03218316478274702,-0.012461908310560224,False
CBL,gcn,0.012589410056553285,-0.0014058807093994055,0.02712879343037999,True
