pair,shift,ci_low,ci_high,q_value
CBL-cheb,0.04777919648173051,0.037354251018632864,0.05855189861531939,1.4483475369501716e-12
VN-cheb,0.04584677807268783,0.03361794830405226,0.05763924349875041,8.2453518779153e-10
CBL-mlp,-0.03789619536467828,-0.044137280422913955,-0.03153692214951221,1.0755074947092548e-17
VN-mlp,-0.03783425066451612,-0.04501055289677098,-0.030243403216601395,3.375104582369048e-15
SMN-cheb,0.03315529458026972,0.02382896015330813,0.0423679955995888,5.2547410026337655e-08
DAN-cheb,0.031856785554918665,0.023645986224448665,0.04057192930366546,8.566920043921816e-09
DAN-mlp,-0.029019325908233168,-0.03371797598076066,-0.024295025556535985,9.961326547904795e-17
SMN-mlp,-0.025167311511149926,-0.03005829814367266,-0.02010254307499845,2.374071519479059e-16
