roi_idx,roi_name,mlp,cheb,gt,gcn,top_expert
0,Precentral_L,0.19608875722080082,0.31964462627838186,0.2606218739763483,0.223644754813089,cheb
1,Precentral_R,0.19417851592426177,0.3230912685394287,0.2594845750695699,0.22324565556142237,cheb
2,Frontal_Sup_L,0.22350004663715115,0.3040259519180694,0.22352206184492482,0.24895194743747834,cheb
3,Frontal_Sup_R,0.2309928529641845,0.29293842439527634,0.2156831095745037,0.26038562467732984,cheb
4,Frontal_Sup_Orb_L,0.20114990497951385,0.3278991442609143,0.22181845059642544,0.2491325083878133,cheb
5,Frontal_Sup_Orb_R,0.24004631866882373,0.2947400769630036,0.2193577882724923,0.24585582528795516,cheb
6,Frontal_Mid_L,0.21989406345339566,0.30325041672626096,0.21896788332756464,0.2578876483943555,cheb
7,Frontal_Mid_R,0.22880429745494546,0.2960675455533065,0.2161912816491994,0.25893688608299603,cheb
8,Frontal_Mid_Orb_L,0.20406135229708314,0.3210300255518455,0.22205032272772354,0.25285831209901094,cheb
9,Frontal_Mid_Orb_R,0.23826916467446785,0.29420195384459064,0.22048479666957607,0.24704409429392257,cheb
10,Frontal_Inf_Oper_L,0.2464948170757913,0.2971279290202376,0.22712568861323518,0.2292515773858343,cheb
11,Frontal_Inf_Oper_R,0.1963976558733296,0.32984309111322674,0.22919455983422019,0.24456470179093348,cheb
12,Frontal_Inf_Tri_L,0.24929836673008932,0.290816067294641,0.22301336542352454,0.23687220838936893,cheb
13,Frontal_Inf_Tri_R,0.24237234242163697,0.29678845231409196,0.22268539309114604,0.2381538220427253,cheb
14,Frontal_Inf_Orb_L,0.23349776922108292,0.3083036110385672,0.23173679585580703,0.2264618349152726,cheb
15,Frontal_Inf_Orb_R,0.22987977899127193,0.30676158236992823,0.22711249208682543,0.23624615516368444,cheb
16,Rolandic_Oper_L,0.20845473857669086,0.3307792718534346,0.251403018251642,0.20936297876881316,cheb
17,Rolandic_Oper_R,0.1997120902909861,0.3271977471840846,0.23788361551312656,0.23520655417210096,cheb
18,Supp_Motor_Area_L,0.19529281469521584,0.3278340265735403,0.2529942039158437,0.2238789614918944,cheb
19,Supp_Motor_Area_R,0.19326911450593504,0.3300011303130682,0.2522304481887198,0.22449931676511642,cheb
20,Olfactory_L,0.1998256616197623,0.3413910111049553,0.2241694757884199,0.2346138579698352,cheb
21,Olfactory_R,0.19941531295900222,0.3408928867671397,0.2206872044639154,0.23900460548602143,cheb
22,Frontal_Sup_Medial_L,0.22756194749048778,0.3104000436021136,0.2223345038372201,0.2397035150365396,cheb
23,Frontal_Sup_Medial_R,0.24422283315813387,0.29483691380395516,0.21805851509818783,0.24288174964777834,cheb
24,Frontal_Mid_Orb_L,0.1976971248914669,0.3335499668663198,0.22829737717455084,0.2404555378409175,cheb
25,Frontal_Mid_Orb_R,0.19727216032031294,0.3306512908115015,0.2275096196439359,0.24456694286752056,cheb
26,Rectus_L,0.195863419345447,0.33019563884704145,0.22908311637191028,0.2448578326926603,cheb
27,Rectus_R,0.195103654420221,0.3330009722864473,0.2240770868473239,0.2478182963156081,cheb
28,Insula_L,0.2169928810039124,0.3173515262541833,0.2283985942795679,0.23725701355701917,cheb
29,Insula_R,0.21557686952027408,0.3202790766954422,0.2302573574827863,0.23388670336503486,cheb
30,Cingulum_Ant_L,0.22023782201788641,0.32635222201223496,0.21878478298713636,0.23462518023980128,cheb
31,Cingulum_Ant_R,0.213803806765513,0.32033760826309005,0.2155950153609375,0.2502635791897774,cheb
32,Cingulum_Mid_L,0.2050289110123337,0.3119621766465051,0.24262189690942887,0.24038702501105025,cheb
33,Cingulum_Mid_R,0.20578209020487673,0.31120296635411004,0.2413566897248293,0.24165826213437241,cheb
34,Cingulum_Post_L,0.2146030469954788,0.31627776096393534,0.2385314478502645,0.2305877542534432,cheb
35,Cingulum_Post_R,0.21604115051495565,0.3161233092670317,0.2393945949998769,0.22844095499097528,cheb
36,Hippocampus_L,0.22127542364132868,0.319798545403914,0.22753406557943914,0.23139197330970268,cheb
37,Hippocampus_R,0.22415770841883376,0.31508949244177187,0.23364041774690925,0.2271123934875835,cheb
38,ParaHippocampal_L,0.20892016976684719,0.32919472417274076,0.23388709350452794,0.22799802107083333,cheb
39,ParaHippocampal_R,0.20987684628019085,0.32721481327112617,0.22910881003776154,0.23379954269954137,cheb
40,Amygdala_L,0.21884487124232502,0.31688038637111715,0.23148683632736083,0.232787916509362,cheb
41,Amygdala_R,0.21173748993254327,0.3155446950491373,0.23794619119786597,0.23477163688315975,cheb
42,Calcarine_L,0.20527645152110557,0.314510118071135,0.224172091135731,0.25604134875458556,cheb
43,Calcarine_R,0.20408895853664968,0.31086689485357955,0.2262317824673343,0.25881237614077407,cheb
44,Cuneus_L,0.20601960736048686,0.3135665821564662,0.22643687827633574,0.25397694275363697,cheb
