roi_idx,roi_name,mlp,cheb,gt,gcn,top_expert
0,Precentral_L,1.0,1.0,1.0,1.0,mlp
1,Precentral_R,1.0,1.0,1.0,1.0,mlp
2,Frontal_Sup_L,1.0,1.0,1.0,1.0,mlp
3,Frontal_Sup_R,1.0,1.0,1.0,1.0,mlp
4,Frontal_Sup_Orb_L,1.0,1.0,1.0,1.0,mlp
5,Frontal_Sup_Orb_R,1.0,1.0,1.0,1.0,mlp
6,Frontal_Mid_L,1.0,1.0,1.0,1.0,mlp
7,Frontal_Mid_R,1.0,1.0,1.0,1.0,mlp
8,Frontal_Mid_Orb_L,1.0,1.0,1.0,1.0,mlp
9,Frontal_Mid_Orb_R,1.0,1.0,1.0,1.0,mlp
10,Frontal_Inf_Oper_L,1.0,1.0,1.0,1.0,mlp
11,Frontal_Inf_Oper_R,1.0,1.0,1.0,1.0,mlp
12,Frontal_Inf_Tri_L,1.0,1.0,1.0,1.0,mlp
13,Frontal_Inf_Tri_R,1.0,1.0,1.0,1.0,mlp
14,Frontal_Inf_Orb_L,1.0,1.0,1.0,1.0,mlp
15,Frontal_Inf_Orb_R,1.0,1.0,1.0,1.0,mlp
16,Rolandic_Oper_L,1.0,1.0,1.0,1.0,mlp
17,Rolandic_Oper_R,1.0,1.0,1.0,1.0,mlp
18,Supp_Motor_Area_L,1.0,1.0,1.0,1.0,mlp
19,Supp_Motor_Area_R,1.0,1.0,1.0,1.0,mlp
20,Olfactory_L,1.0,1.0,1.0,1.0,mlp
21,Olfactory_R,1.0,1.0,1.0,1.0,mlp
22,Frontal_Sup_Medial_L,1.0,1.0,1.0,1.0,mlp
23,Frontal_Sup_Medial_R,1.0,1.0,1.0,1.0,mlp
24,Frontal_Mid_Orb_L,1.0,1.0,1.0,1.0,mlp
25,Frontal_Mid_Orb_R,1.0,1.0,1.0,1.0,mlp
26,Rectus_L,1.0,1.0,1.0,1.0,mlp
27,Rectus_R,1.0,1.0,1.0,1.0,mlp
28,Insula_L,1.0,1.0,1.0,1.0,mlp
29,Insula_R,1.0,1.0,1.0,1.0,mlp
30,Cingulum_Ant_L,1.0,1.0,1.0,1.0,mlp
31,Cingulum_Ant_R,1.0,1.0,1.0,1.0,mlp
32,Cingulum_Mid_L,1.0,1.0,1.0,1.0,mlp
33,Cingulum_Mid_R,1.0,1.0,1.0,1.0,mlp
34,Cingulum_Post_L,1.0,1.0,1.0,1.0,mlp
