fold,noise_std,auc
2,0.0,0.622631195335277
2,0.05,0.6219023323615159
2,0.1,0.6191690962099125
2,0.15,0.619533527696793
2,0.2,0.6251822157434401
2,0.25,0.6293731778425655
2,0.3,0.622631195335277
