expert,network,HC_mean,HC_std,ADHD_mean,ADHD_std,mean_diff_case_minus_hc,n_HC,n_ADHD
mlp,SMN,0.20968375222550498,0.022693482406858794,0.18451644071435505,0.02492531556332556,-0.025167311511149926,360,113
mlp,DMN,0.20724377002980973,0.025453082249903804,0.19270770357245892,0.027621675306385596,-0.01453606645735081,360,113
mlp,FPN,0.21908335640198653,0.03468261657632741,0.19899927528031106,0.029751700109297306,-0.02008408112167548,360,113
mlp,DAN,0.20538249111009968,0.030419265373051882,0.1763631652018665,0.019981227983087865,-0.029019325908233168,360,113
mlp,VN,0.19879036295331187,0.038221469611215024,0.16095611228879575,0.03292026181717156,-0.03783425066451612,360,113
mlp,LIN,0.19505923746360673,0.027801410473573845,0.18180963792632113,0.024741412971952467,-0.013249599537285606,360,113
mlp,SBN,0.20144263336228,0.03736405507822784,0.18248063523684982,0.028488616191763613,-0.018961998125430174,360,113
mlp,VAN,0.21113522168662813,0.032618747848934315,0.189241856600331,0.029592713191762186,-0.021893365086297134,360,113
mlp,CBL,0.2024989770518409,0.03543442551932399,0.1646027816871626,0.028651734781246854,-0.03789619536467828,360,113
cheb,SMN,0.27818331867456436,0.045480202170231736,0.3113386132548341,0.041898128688332946,0.03315529458026972,360,113
cheb,DMN,0.26877270800371966,0.04414044576222034,0.2930798657172549,0.03582055108185084,0.024307157713535255,360,113
cheb,FPN,0.26515536477996243,0.04616502749395538,0.28467018533069477,0.039571387246780616,0.019514820550732337,360,113
cheb,DAN,0.27625802490446305,0.044943686314156475,0.3081148104593817,0.03942634634878023,0.031856785554918665,360,113
cheb,VN,0.27896952128244773,0.049231511176153674,0.32481629935513556,0.05971391022578909,0.04584677807268783,360,113
cheb,LIN,0.27371116168797016,0.05055052480567934,0.30054310742205226,0.040656916839257796,0.026831945734082097,360,113
cheb,SBN,0.2771229326311085,0.04455001024985936,0.297869935631752,0.03624200317116067,0.020747003000643527,360,113
cheb,VAN,0.2735789159933726,0.04653760155256542,0.29633125544121836,0.04083063593520302,0.02275233944784577,360,113
cheb,CBL,0.27699891014231576,0.04861260170548035,0.32477810662404627,0.051750068354622814,0.04777919648173051,360,113
gt,SMN,0.2640723891970184,0.040315676079083096,0.24482887060241362,0.042110165459924374,-0.019243518594604797,360,113
gt,DMN,0.2556182717697488,0.032223593050594954,0.2408664183015317,0.03202946896923522,-0.014751853468217085,360,113
gt,FPN,0.2548107393913799,0.04298981834686768,0.2425216706716909,0.04143652126256753,-0.01228906871968899,360,113
gt,DAN,0.2582755133509636,0.04758562566444417,0.24152812585893985,0.04489811277629797,-0.016747387492023758,360,113
gt,VN,0.248676833551791,0.04374473616143283,0.23105463187778946,0.05013190979794281,-0.017622201674001525,360,113
gt,LIN,0.25419062334630227,0.035894848204138186,0.23967526694842145,0.03864012865168365,-0.014515356397880819,360,113
gt,SBN,0.2616009467177921,0.03226076616269684,0.24780024812284823,0.03364898627458381,-0.013800698594943872,360,113
gt,VAN,0.2639020485182603,0.03239133002548244,0.25108629425542545,0.034167559536200265,-0.012815754262834878,360,113
gt,CBL,0.25036361403763296,0.04034774835639066,0.22789120740067642,0.049163855838778865,-0.022472406636956543,360,113
gcn,SMN,0.2480605530242125,0.026588984761891105,0.25931609006582107,0.04907006866238167,0.01125553704160856,360,113
gcn,DMN,0.26836526522205933,0.02609595024103777,0.27334603060663276,0.030287438431457318,0.004980765384573427,360,113
gcn,FPN,0.2609505517201291,0.0230142011885892,0.27380888243164636,0.022317313400319456,0.012858330711517263,360,113
gcn,DAN,0.2600839852458901,0.027512907925293238,0.27399391344690743,0.039513107705595955,0.01390992820101733,360,113
gcn,VN,0.273563301232126,0.029148000218740824,0.283172975731107,0.058689674831568485,0.00960967449898098,360,113
gcn,LIN,0.2770389933139086,0.026464902814582032,0.27797200524174004,0.03676753934279206,0.0009330119278314619,360,113
gcn,SBN,0.2598335041768021,0.024870290999625483,0.27184919511849903,0.03552183997500539,0.01201569094169691,360,113
gcn,VAN,0.25138382895125283,0.02335989585448175,0.2633406116371661,0.028562582961541884,0.01195678268591327,360,113
gcn,CBL,0.2701385109788842,0.03563162750530899,0.2827279210354375,0.07302491255035595,0.012589410056553285,360,113
